Warsaw city	Missouri	2120	[[-93.38986799999999, 38.232780000000005], [-93.351102, 38.269891]]
Tyrone township	Pennsylvania	2120	[[-78.262739, 40.659561], [-78.227407, 40.695856000000006]]
Ida Grove city	Iowa	2121	[[-95.496931, 42.327342], [-95.455657, 42.355878999999995]]
Jal city	New Mexico	2121	[[-103.20513, 32.09397500000001], [-103.176053, 32.138486]]
Belvedere city	California	2122	[[-122.4891412, 37.853038399999996], [-122.4522041, 37.88787299999999]]
Atlantis city	Florida	2122	[[-80.1147842, 26.587956400000003], [-80.08971009999999, 26.6036218]]
Redgranite village	Wisconsin	2123	[[-89.12427799999999, 44.033726], [-89.082655, 44.076349]]
Granby city	Missouri	2124	[[-94.283602, 36.910131], [-94.282584, 36.910937]]
Lisbon city	North Dakota	2124	[[-97.699979, 46.427196], [-97.668268, 46.450638]]
Kirbyville city	Texas	2124	[[-93.92360900000001, 30.634761000000005], [-93.88233899999999, 30.680458]]
Essex Fells borough	New Jersey	2125	[[-74.29969500000001, 40.81387699999999], [-74.259779, 40.835277]]
La Salle town	Colorado	2126	[[-104.720122, 40.34153], [-104.694591, 40.360232]]
Hertford town	North Carolina	2126	[[-76.461786, 36.164759000000004], [-76.44109900000002, 36.179226]]
Clinton village	Wisconsin	2126	[[-88.879963, 42.544199], [-88.85348099999999, 42.568039000000006]]
Washington township	Michigan	2127	[[-83.099432, 42.712374000000004], [-82.976908, 42.803333]]
Caledonia village	New York	2127	[[-77.87670099999998, 42.965414], [-77.840457, 42.98796299999999]]
Greensburg city	Kentucky	2128	[[-85.51209300000001, 37.2398], [-85.48292400000001, 37.273741]]
Jonesville town	Louisiana	2128	[[-91.850227, 31.611900000000006], [-91.80977599999999, 31.632771]]
North Plains city	Oregon	2128	[[-123.01392140000002, 45.58830030000001], [-122.96916130000001, 45.6034281]]
Marceline city	Missouri	2129	[[-92.96639300000001, 39.69840000000001], [-92.932455, 39.740006]]
Conway borough	Pennsylvania	2129	[[-80.255383, 40.65466599999999], [-80.224773, 40.676866]]
Naples city	Utah	2130	[[-109.523676, 40.411612999999996], [-109.460982, 40.453450999999994]]
